league,match_seq,cum_pnl
"Denmark, Superliga",15,1150.0
"Denmark, Superliga",16,1250.0
"Denmark, Superliga",17,1350.0
"Denmark, Superliga",18,1450.0
"Denmark, Superliga",19,1550.0
"Denmark, Superliga",20,1650.0
"Denmark, Superliga",21,1750.0
"Denmark, Superliga",22,1850.0
"Denmark, Superliga",23,1950.0
"Denmark, Superliga",24,2050.0
"Denmark, Superliga",25,2150.0
"Denmark, Superliga",26,1920.0
"Denmark, Superliga",27,1660.0
"Denmark, Superliga",28,1760.0
"Denmark, Superliga",29,1860.0
"Denmark, Superliga",30,1960.0
"Ecuador, Liga Pro Serie B",1,100.0
"Ecuador, Liga Pro Serie B",2,-125.0
"Ecuador, Liga Pro Serie B",3,-25.0
"Ecuador, Liga Pro Serie B",4,75.0
"Ecuador, Liga Pro Serie B",5,175.0
"Ecuador, Liga Pro Serie B",6,275.0
"Ecuador, Liga Pro Serie B",7,375.0
"Ecuador, Liga Pro Serie B",8,475.0
"England, FA WSL",1,100.0
"England, FA WSL",2,-170.0
"England, FA WSL",3,-70.0
"England, FA WSL",4,30.0
"England, FA WSL",5,130.0
"England, FA WSL",6,230.0
"England, FA WSL",7,330.0
"England, FA WSL",8,430.0
"England, FA WSL",9,205.0
"England, FA WSL",10,305.0
"England, FA WSL",11,405.0
"England, FA WSL",12,505.0
"England, League One",1,100.0
"England, League One",2,-140.0
"England, League One",3,-40.0
"England, League One",4,60.0
"England, League One",5,160.0
"England, League One",6,260.0
"England, League One",7,360.0
"England, League One",8,139.99999999999997
"England, League One",9,239.99999999999997
"England, League One",10,340.0
"England, League One",11,440.0
"England, League One",12,540.0
"England, League One",13,330.0
"England, League One",14,430.0
"England, League One",15,200.00000000000003
"England, League One",16,-49.99999999999997
"England, League One",17,50.00000000000003
"England, League One",18,150.00000000000003
"England, League One",19,250.00000000000003
"England, League One",20,350.0
"England, League One",21,450.0
"England, League One",22,550.0
"England, League One",23,650.0
"England, League One",24,750.0
"England, League One",25,850.0
"England, League One",26,625.0
"England, League One",27,725.0
"England, League One",28,825.0
"England, League One",29,595.0
"England, League One",30,695.0
"England, League One",31,795.0
"England, League One",32,895.0
"England, League One",33,620.0
"England, League One",34,720.0
"England, League One",35,820.0
"England, League One",36,920.0
"England, League One",37,1020.0
"England, League One",38,750.0
"England, League One",39,850.0
"England, League One",40,950.0
"England, League One",41,1050.0
"England, League One",42,1150.0
"England, League One",43,1250.0
"England, League One",44,1350.0
"England, League One",45,1450.0
"England, League One",46,1210.0
"England, League One",47,1310.0
"England, League One",48,1070.0
"England, League One",49,1170.0
"England, League One",50,960.0
"England, League One",51,1060.0
"England, League One",52,1160.0
"England, League One",53,1260.0
"England, League One",54,1360.0
"England, League One",55,1460.0
"England, League One",56,1560.0
"England, League One",57,1660.0
"England, League One",58,1760.0
"England, League One",59,1860.0
"England, League One",60,1960.0
"England, League One",61,1660.0
